DB00806	DB00794
DB00500	DB00980
DB00570	DB00641
DB00570	DB04868
DB00570	DB00188
DB00570	DB01259
DB00570	DB06616
DB00002	DB00112
DB01165	DB00977
DB01193	DB00999
DB00481	DB00381
DB00590	DB01115
DB00590	DB00381
DB01162	DB00381
DB00907	DB01069
DB00907	DB00433
DB00907	DB00904
DB00907	DB00381
DB00907	DB01234
DB00887	DB00381
DB00490	DB01238
DB00490	DB01224
DB00333	DB00476
DB00333	DB01234
DB00333	DB00381
DB00333	DB00813
DB00889	DB00997
DB00889	DB00433
DB00889	DB01075
DB00889	DB01234
DB00246	DB00363
DB00246	DB00502
DB00246	DB00734
DB00246	DB01238
DB00246	DB01224
DB00285	DB00656
DB00285	DB00273
DB00285	DB00363
DB00285	DB00381
DB00285	DB01238
DB00285	DB00734
DB00285	DB00334
DB00904	DB00836
DB00502	DB00656
DB00502	DB00734
DB00502	DB01069
DB00502	DB00420
DB00502	DB01238
DB00502	DB00381
DB00502	DB01234
DB00502	DB00813
DB00502	DB00363
DB00502	DB00810
DB00502	DB01224
DB00420	DB00246
DB00420	DB00477
DB00420	DB01238
DB00420	DB00734
DB00420	DB00334
DB00420	DB01224
DB00580	DB00381
DB00580	DB00999
DB00580	DB00482
DB00780	DB00675
DB00370	DB01224
DB00370	DB00999
DB00370	DB00734
DB00370	DB01238
DB00370	DB00381
DB00656	DB01238
DB00656	DB00813
DB00656	DB00334
DB00656	DB00734
DB06148	DB00656
DB04842	DB04365
DB01062	DB00321
DB01062	DB00999
DB04821	DB01062
DB04297	DB06616
DB03496	DB02546
DB03496	DB00641
DB03496	DB08881
DB03496	DB06616
DB01392	DB00411
DB01186	DB00404
DB01186	DB00408
DB01083	DB00953
DB01065	DB01149
DB00861	DB06288
DB00836	DB00307
DB00831	DB00421
DB00831	DB01173
DB00738	DB00675
DB00738	DB00909
DB00714	DB00933
DB01149	DB00404
DB01184	DB00316
DB01184	DB00904
DB01184	DB01234
DB01184	DB00696
DB00988	DB01173
DB00988	DB01184
DB00549	DB00988
DB00933	DB00774
DB00543	DB00933
DB00404	DB01069
DB00404	DB00381
DB00404	DB01234
DB00404	DB00999
DB00408	DB01234
DB00408	DB00381
DB00408	DB00404
DB00624	DB01234
DB00624	DB00969
DB00391	DB00715
DB00391	DB00624
DB00391	DB00311
DB00382	DB00934
DB01113	DB01184
DB00744	DB00988
DB00843	DB00381
DB00603	DB00783
DB00603	DB00396
DB00603	DB00404
DB00232	DB01626
DB00191	DB00273
DB00165	DB00366
DB00691	DB00999
DB00608	DB01087
DB00182	DB01576
DB01085	DB00195
DB00715	DB00586
DB00715	DB00502
DB00715	DB00904
DB00715	DB00412
DB00715	DB00246
DB00715	DB00476
DB00715	DB00490
DB00715	DB00783
DB00715	DB00482
DB00715	DB00421
DB00715	DB01234
DB00715	DB01075
DB00715	DB01238
DB00715	DB00813
DB00715	DB00370
DB00715	DB00285
DB00715	DB00321
DB00715	DB00334
DB00715	DB00381
DB00715	DB00999
DB00715	DB00656
DB00715	DB00734
DB00715	DB00404
DB04861	DB00808
DB00396	DB00783
DB00694	DB08881
DB00694	DB01259
DB00694	DB06616
DB00422	DB01576
DB06288	DB00370
DB01171	DB06288
DB00312	DB00599
DB06616	DB00188
DB06616	DB08881
DB06616	DB00398
DB06616	DB01229
DB06616	DB01030
DB06616	DB02546
DB00989	DB01043
DB00659	DB01175
DB00482	DB01075
DB00482	DB00706
DB00482	DB00878
DB00482	DB00472
DB00482	DB00455
DB00482	DB00904
DB00482	DB01069
DB00482	DB01036
DB00482	DB00433
DB00482	DB00586
DB00482	DB00783
DB00482	DB01224
DB00482	DB00321
DB00482	DB00656
DB00482	DB00404
DB00482	DB00215
DB00482	DB00476
DB00482	DB00285
DB00482	DB01234
DB00482	DB00381
DB00482	DB00813
DB00482	DB00999
DB00482	DB00966
DB00482	DB01586
DB01115	DB00843
DB00055	DB01225
DB01136	DB00421
DB00307	DB00553
DB00175	DB00945
DB00215	DB00999
DB00215	DB00656
DB00215	DB00363
DB00476	DB00734
DB00476	DB00334
DB00476	DB01224
DB00476	DB01175
DB00097	DB06719
DB00046	DB00047
DB01238	DB00734
DB01238	DB00334
DB01238	DB00421
DB01238	DB01356
DB00014	DB01128
DB00328	DB01234
DB00328	DB00909
DB00328	DB01173
DB00602	DB00643
DB01109	DB00054
DB00327	DB01192
DB00683	DB00706
DB05039	DB01409
DB00107	DB00834
DB01224	DB00813
DB01224	DB00656
DB01224	DB00843
DB01224	DB00715
DB01224	DB00285
DB01224	DB01238
DB01224	DB00734
DB00297	DB00327
DB00297	DB00668
DB00668	DB00721
DB00957	DB00977
DB00823	DB00977
DB00783	DB00367
DB00783	DB01165
DB00783	DB00215
DB00783	DB00285
DB00783	DB01234
DB00783	DB00476
DB00783	DB01069
DB00783	DB00813
DB00783	DB00321
DB00783	DB00381
DB00783	DB00999
DB00783	DB00404
DB00783	DB00977
DB00783	DB00957
